date,product,ad_format,experiment_group,source,is_ironsource,impression,revenue,ecpm
2026-04-05,ios_screw_puzzle,INTER,B,max,False,62061,980.4322909999994,15.797880971946945
2026-04-05,ios_screw_puzzle,REWARD,A,max,False,30144,583.3490900000002,19.3520796841826
2026-04-05,ios_screw_puzzle,REWARD,B,max,False,30246,617.7205850000001,20.423215797130204
2026-04-05,screw_puzzle,BANNER,A,max,False,1331337,197.7486369999943,0.14853387008698346
2026-04-05,screw_puzzle,BANNER,A,ulp,True,1,9.6e-05,0.096
2026-04-05,screw_puzzle,BANNER,B,max,False,1376791,193.2863739999941,0.14038904525087256
2026-04-05,screw_puzzle,INTER,A,max,False,176571,1092.4333829999996,6.18693547071716
2026-04-05,screw_puzzle,INTER,B,max,False,179576,1108.3593739999997,6.1720907805051874
2026-04-05,screw_puzzle,REWARD,A,max,False,70648,768.0837469999998,10.871981471520776
2026-04-05,screw_puzzle,REWARD,B,max,False,69842,735.0260509999998,10.52412661435812
