Date,Property ID,Property,App ID,App name,Platform,Delivery method,Display format,Bidding requests,Bidding responses,Bid rate,Win rate,Requests,Filled requests,Fill rate,Impressions,Impression rate,Clicks,CTR,Effective CPM,Revenue
2026-01-12,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,banner,15098936,2541922,0.16835106791631,0.49055517832569,1246953,1246953,1,1203557,0.96519836754072,2938,0.0024410975134539,0.10417097457894,125.3757056513
2026-01-12,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,interstitial,5011732,691663,0.13800877620751,0.28130317799275,194567,194038,0.99728114222864,114570,0.59045135488925,21094,0.18411451514358,4.8576124555355,556.5366590307
2026-01-12,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,rewarded_video,2297036,438493,0.19089513616678,0.30821244580871,135149,134203,0.99300031816736,44939,0.33485838617617,19038,0.42364093549033,10.863606968491,488.199633557
2026-01-12,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,banner,8395831,233750,0.027841198804502,0.15827165775401,36996,36996,1,34175,0.92374851335279,9,0.00026335040234089,0.059568311452816,2.0357470439
2026-01-12,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,interstitial,3375704,123893,0.036701381400739,0.093508107802701,11585,10800,0.93223996547259,2815,0.26064814814815,117,0.041563055062167,15.59033510984,43.8867933342
2026-01-12,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,interstitial,10,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-12,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,rewarded_video,1968376,111986,0.056892585562921,0.11191577518618,12533,10454,0.83411792866832,2058,0.19686244499713,102,0.049562682215743,15.242125185666,31.3682936321
2026-01-12,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,rewarded_video,12,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-11,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,banner,15892686,2654192,0.16700713774877,0.45609172207587,1210555,1210555,1,1164049,0.96158291031799,2773,0.0023822021237938,0.1031384195484,120.0581741369
2026-01-11,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,interstitial,5267959,754011,0.1431315239925,0.27640710811911,208414,207793,0.99702035371904,122448,0.58927875337475,22223,0.18148928524762,4.5665299166569,559.1624552348
2026-01-11,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,rewarded_video,2431676,486370,0.20001431111711,0.28917079589613,140644,139272,0.99024487358153,48360,0.34723418921248,20684,0.4277088502895,9.4777322320616,458.3431307425
2026-01-11,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,banner,9179305,263621,0.028719058795846,0.16366677920196,43146,43146,1,39697,0.92006211468039,9,0.0002267173841852,0.056074622460136,2.2259942878
2026-01-11,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,interstitial,3656772,128180,0.035052773320295,0.080340146668747,10298,9426,0.91532336375995,2506,0.26586038616592,121,0.04828411811652,15.941504897486,39.9494112731
2026-01-11,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,interstitial,11,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-11,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,rewarded_video,2129415,123970,0.058217867348544,0.089949181253529,11151,9776,0.87669267330284,1825,0.18668166939444,106,0.058082191780822,19.048173521534,34.7629166768
2026-01-11,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,rewarded_video,20,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-10,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,banner,15573828,2573233,0.1652280351369,0.44255339489273,1138793,1138793,1,1093655,0.96036329692929,2687,0.002456899113523,0.098857290376673,108.1157699069
2026-01-10,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,interstitial,5211478,832102,0.15966718078825,0.28141862415906,234169,233310,0.99633170915023,137102,0.58763876387639,25312,0.18462166853875,4.0134367819565,550.2502096798
2026-01-10,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,rewarded_video,2371546,480419,0.20257629411363,0.28954933089657,139105,137957,0.99174724129255,47187,0.34204136071385,19570,0.41473287134168,9.4890036106809,447.7576133772
2026-01-10,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,banner,8659081,234159,0.027042015197687,0.14976148685295,35068,35068,1,32322,0.92169499258583,9,0.00027844811583442,0.06292191906132,2.0337622679
2026-01-10,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,banner,2,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-10,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,interstitial,3437292,134613,0.039162515142734,0.068009776173178,9155,8186,0.89415619879847,2139,0.26129978011239,103,0.048153342683497,14.986325747452,32.0557507738
2026-01-10,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,interstitial,10,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-10,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,rewarded_video,2019233,126511,0.062652997450022,0.083755562757389,10596,8776,0.82823707059268,1713,0.19519143117593,109,0.063631056625803,15.62267260216,26.7616381675
2026-01-10,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,rewarded_video,23,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-09,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,banner,15464625,2650957,0.17142071016918,0.42882815526619,1136805,1136805,1,1088923,0.95788019933058,2898,0.0026613452007167,0.088521240859455,96.3928151604
2026-01-09,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,interstitial,5183697,995575,0.19205887226819,0.26338045852899,262215,261304,0.99652575176859,149288,0.57131922970946,26657,0.17856090241681,3.6216879605688,540.6745522574
2026-01-09,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,rewarded_video,2327550,481272,0.20677192756332,0.29204690902442,140554,139241,0.99065839463836,45520,0.32691520457337,18684,0.41045694200351,9.8625278622232,448.9422682884
2026-01-09,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,banner,8256084,228542,0.027681646649913,0.16595636688224,37928,37928,1,34525,0.91027736764396,8,0.00023171614771904,0.063732253106445,2.2003560385
2026-01-09,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,banner,5,0,0,0,0,0,0,0,0,0,0,0,Not available
