product,app_version,dau_user_cnt,latency_user_cnt,latency_user_coverage_ratio,dau_user_share,latency_user_share
ios_screw_puzzle,1.15.0,299542,259668,0.8668834420548704,0.9144338174014183,0.9449207435117393
ios_screw_puzzle,1.14.0,10209,8307,0.8136937995885983,0.031165762536976716,0.03022881763001994
ios_screw_puzzle,1.13.0,4315,3474,0.805098493626883,0.013172716754535657,0.012641737383735316
ios_screw_puzzle,1.10.0,2052,1587,0.7733918128654971,0.006264290794972693,0.005775025108804821
ios_screw_puzzle,1.6.0,1553,0,0.0,0.004740956922316078,0.0
screw_puzzle,1.16.0,651545,470721,0.72246890084338,0.8614388936265858,0.9322057058662769
screw_puzzle,1.14.0,33886,14882,0.4391784217671015,0.04480230582604499,0.029471991508137375
screw_puzzle,1.15.0,29202,14534,0.49770563660023287,0.03860936477401186,0.028782819821211437
screw_puzzle,1.12.0,8372,3253,0.38855709507883424,0.011069022734334199,0.0064421709700289535
screw_puzzle,1.8.0,6257,0,0.0,0.008272679795595926,0.0
