event_date,ad_format,show_pv,impression_pv,display_failed_pv,impression_show_rate,impression_plus_failed_show_rate,impression_show_rate_dod,impression_plus_failed_show_rate_dod
2025-09-18,interstitial,1381138,1327854,22460,0.9614202201373071,0.9776821722376765,,
2025-09-18,rewarded,406725,400275,2995,0.9841416190300571,0.9915053168602864,,
2025-09-19,interstitial,1392030,1345647,17346,0.9666795974224693,0.9791405357643155,0.005259377285162237,0.0014583635266389727
2025-09-19,rewarded,414026,407999,1707,0.985442943196804,0.9895658726746629,0.0013013241667468867,-0.001939444185623529
2025-09-20,interstitial,1397356,1347253,16820,0.9641444270465078,0.9761814455299866,-0.002535170375961515,-0.0029590902343288317
2025-09-20,rewarded,412652,405690,1824,0.9831286410825587,0.9875488304915522,-0.0023143021142453257,-0.0020170421831107177
2025-09-21,interstitial,1445583,1392963,17664,0.9635994612554243,0.975818752710844,-0.0005449657910835404,-0.0003626928191426959
2025-09-21,rewarded,433985,426191,1895,0.9820408539465649,0.9864073643098263,-0.0010877871359937785,-0.0011414661817258365
2025-09-22,interstitial,1383868,1319963,17535,0.953821462740666,0.9664924689348984,-0.009777998514758246,-0.009326283775945576
2025-09-22,rewarded,417545,407049,1760,0.9748625896609946,0.9790777041995473,-0.007178264285570335,-0.007329660110279024
2025-09-23,interstitial,1392736,1309945,16441,0.9405551375134986,0.9523599591020839,-0.01326632522716742,-0.014132509832814444
2025-09-23,rewarded,416036,400464,2091,0.9625705467796056,0.9675965541443529,-0.012292042881388965,-0.011481150055194456
2025-09-24,interstitial,1385707,1297561,17038,0.936389150087284,0.9486846786514033,-0.004165987426214657,-0.0036752804506806624
2025-09-24,rewarded,416021,399118,2041,0.9593698395032944,0.9642758418445223,-0.0032007072763112765,-0.0033207122998305527
2025-09-25,interstitial,1246302,1136909,20144,0.9122259291889124,0.9283889458574246,-0.02416322089837153,-0.02029573279397867
2025-09-25,rewarded,372566,352222,2524,0.9453949098951595,0.952169548482685,-0.013974929608134845,-0.012106293361837328
2025-09-26,interstitial,1209067,1082434,18335,0.8952638687516904,0.9104284543371045,-0.016962060437222037,-0.017960491520320088
2025-09-26,rewarded,363852,338800,2510,0.9311478293372031,0.9380462385805217,-0.014247080557956426,-0.014123309902163261
2025-09-27,interstitial,1322765,1178582,17215,0.8909987790726244,0.9040131845036722,-0.004265089679066025,-0.006415269833432324
2025-09-27,rewarded,395914,366360,2208,0.9253524755376168,0.9309294442732513,-0.005795353799586289,-0.007116794307270413
2025-09-28,interstitial,1314590,1167421,16564,0.8880495059296054,0.9006496322047178,-0.00294927314301896,-0.003363552298954353
2025-09-28,rewarded,402128,371404,2236,0.9235964667966419,0.9291568853698325,-0.0017560087409749237,-0.0017725589034187639
