product,ad_format,mapped_channel,hudi_impression_pv,max_impression_pv,hudi_max_rate,impression_delta_pv
ios_screw_puzzle,rewarded,Unity Ads,1580183,1589544,0.9941108896639539,-9361
screw_puzzle,rewarded,PubMatic,43608,34588,1.260784086966578,9020
ios_screw_puzzle,rewarded,ironSource,578612,586792,0.9860597963162415,-8180
ios_screw_puzzle,interstitial,Chartboost,219347,211263,1.0382651008458652,8084
ios_screw_puzzle,rewarded,Amazon Ad Marketplace,287891,295908,0.9729071197804723,-8017
ios_screw_puzzle,rewarded,Chartboost,117232,110342,1.0624422250820178,6890
ios_screw_puzzle,interstitial,HyprMX,59404,54274,1.0945203965066146,5130
screw_puzzle,rewarded,Chartboost,90490,95218,0.950345522905333,-4728
ios_screw_puzzle,rewarded,Ogury,162507,167226,0.9717807039575186,-4719
ios_screw_puzzle,rewarded,APPLOVIN_EXCHANGE,176229,179185,0.983503083405419,-2956
screw_puzzle,interstitial,LINE,43000,45748,0.9399318002972807,-2748
ios_screw_puzzle,interstitial,Google Ad Manager,168431,170834,0.985933713429411,-2403
screw_puzzle,rewarded,LINE,49355,51727,0.954143870705821,-2372
ios_screw_puzzle,rewarded,HyprMX,451850,449530,1.0051609458768047,2320
ios_screw_puzzle,interstitial,APPLOVIN_EXCHANGE,822825,820515,1.002815305021846,2310
ios_screw_puzzle,interstitial,BIGO Ads,200087,201685,0.9920767533530009,-1598
ios_screw_puzzle,rewarded,BIGO Ads,60035,61036,0.9835998427157743,-1001
ios_screw_puzzle,rewarded,Google Ad Manager,62263,63259,0.9842552047929939,-996
ios_screw_puzzle,interstitial,PubMatic,121670,122244,0.9953044730211708,-574
ios_screw_puzzle,interstitial,LINE,9344,9782,0.9552238805970149,-438
ios_screw_puzzle,rewarded,PubMatic,13186,13405,0.983662812383439,-219
ios_screw_puzzle,rewarded,LINE,3839,3978,0.9650578179989945,-139
screw_puzzle,rewarded,UNMAPPED,6,0,0.0,6
screw_puzzle,interstitial,UNMAPPED,1,0,0.0,1
