product,event_date,country,ad_format,hudi_show_pv,hudi_impression_pv,max_impression_pv,hudi_max_rate
ios_screw_puzzle,2025-08-16,US,rewarded,28434,28324,29160,0.9713305898491084
ios_screw_puzzle,2025-08-17,IN,interstitial,45321,44197,44616,0.9906087502241349
ios_screw_puzzle,2025-08-17,IN,rewarded,14971,14821,15082,0.98269460283782
ios_screw_puzzle,2025-08-17,US,interstitial,64263,63576,64594,0.9842400222930923
ios_screw_puzzle,2025-08-17,US,rewarded,30896,30778,31456,0.9784460834181078
ios_screw_puzzle,2025-08-18,IN,interstitial,42296,41264,41575,0.9925195429945881
ios_screw_puzzle,2025-08-18,IN,rewarded,14757,14632,14790,0.989317106152806
ios_screw_puzzle,2025-08-18,US,interstitial,59660,58989,60120,0.981187624750499
ios_screw_puzzle,2025-08-18,US,rewarded,29033,28929,29434,0.9828429707141401
ios_screw_puzzle,2025-08-19,IN,interstitial,43352,42303,42624,0.9924690315315315
ios_screw_puzzle,2025-08-19,IN,rewarded,14678,14489,14639,0.9897533984561787
ios_screw_puzzle,2025-08-19,US,interstitial,59653,58977,59714,0.9876578356834244
ios_screw_puzzle,2025-08-19,US,rewarded,29304,29181,29630,0.9848464394195072
ios_screw_puzzle,2025-08-20,IN,interstitial,41198,40201,40386,0.9954192046748873
ios_screw_puzzle,2025-08-20,IN,rewarded,13879,13691,13705,0.9989784750091207
ios_screw_puzzle,2025-08-20,US,interstitial,59893,59141,60007,0.9855683503591248
ios_screw_puzzle,2025-08-20,US,rewarded,28420,28328,28915,0.9796991181047899
ios_screw_puzzle,2025-08-21,IN,interstitial,39994,38856,39324,0.988098870918523
ios_screw_puzzle,2025-08-21,IN,rewarded,13449,13138,13283,0.9890837913122036
ios_screw_puzzle,2025-08-21,US,interstitial,58020,57295,58284,0.9830313636675588
ios_screw_puzzle,2025-08-21,US,rewarded,27799,27701,28207,0.9820611904846315
ios_screw_puzzle,2025-08-22,IN,interstitial,41141,40192,40638,0.9890250504453959
ios_screw_puzzle,2025-08-22,IN,rewarded,13379,13201,13269,0.9948752731931569
ios_screw_puzzle,2025-08-22,US,interstitial,57623,56863,57508,0.9887841691590735
ios_screw_puzzle,2025-08-22,US,rewarded,27391,27301,27616,0.9885935689455388
ios_screw_puzzle,2025-08-23,IN,interstitial,41043,40011,40263,0.993741151926086
ios_screw_puzzle,2025-08-23,IN,rewarded,13505,13248,13281,0.9975152473458324
ios_screw_puzzle,2025-08-23,US,interstitial,56817,56248,56695,0.9921157068524561
ios_screw_puzzle,2025-08-23,US,rewarded,26850,26774,27054,0.9896503289716863
ios_screw_puzzle,2025-08-24,IN,interstitial,42426,41371,41366,1.0001208722138955
ios_screw_puzzle,2025-08-24,IN,rewarded,13090,12854,12848,1.00046699875467
ios_screw_puzzle,2025-08-24,US,interstitial,60321,59714,60403,0.9885932817906395
ios_screw_puzzle,2025-08-24,US,rewarded,28491,28400,28798,0.9861795958052643
ios_screw_puzzle,2025-08-25,IN,interstitial,40513,39640,39978,0.9915453499424683
ios_screw_puzzle,2025-08-25,IN,rewarded,13356,13185,13163,1.001671351515612
ios_screw_puzzle,2025-08-25,US,interstitial,56371,55763,56166,0.9928248406509276
ios_screw_puzzle,2025-08-25,US,rewarded,27266,27163,27473,0.9887161940814618
ios_screw_puzzle,2025-08-26,IN,interstitial,40385,39640,39826,0.9953296841259479
ios_screw_puzzle,2025-08-26,IN,rewarded,13875,13677,13728,0.996284965034965
ios_screw_puzzle,2025-08-26,US,interstitial,55427,54889,55385,0.9910445066353706
ios_screw_puzzle,2025-08-26,US,rewarded,26852,26765,27090,0.9880029531192321
ios_screw_puzzle,2025-08-27,IN,interstitial,39082,38341,38623,0.9926986510628382
ios_screw_puzzle,2025-08-27,IN,rewarded,12939,12845,12958,0.9912795184442044
ios_screw_puzzle,2025-08-27,US,interstitial,55352,54605,55313,0.9872001157051687
ios_screw_puzzle,2025-08-27,US,rewarded,26503,26412,26806,0.9853017981049019
ios_screw_puzzle,2025-08-28,IN,interstitial,39927,39187,39557,0.9906464089794473
ios_screw_puzzle,2025-08-28,IN,rewarded,13066,13011,13180,0.9871775417298938
ios_screw_puzzle,2025-08-28,US,interstitial,54027,53255,54245,0.9817494699972348
ios_screw_puzzle,2025-08-28,US,rewarded,26894,26789,27296,0.9814258499413834
ios_screw_puzzle,2025-08-29,IN,interstitial,38081,37437,39699,0.9430212347918083
ios_screw_puzzle,2025-08-29,IN,rewarded,12825,12776,13572,0.941349837901562
ios_screw_puzzle,2025-08-29,US,interstitial,48401,47525,50083,0.9489247848571372
ios_screw_puzzle,2025-08-29,US,rewarded,24645,24569,26061,0.9427497026207743
ios_screw_puzzle,2025-08-30,IN,interstitial,40145,39363,40166,0.9800079669372106
ios_screw_puzzle,2025-08-30,IN,rewarded,12621,12555,12849,0.9771188419332244
ios_screw_puzzle,2025-08-30,US,interstitial,51676,51018,52273,0.9759914296099325
ios_screw_puzzle,2025-08-30,US,rewarded,25402,25319,26108,0.9697793779684388
ios_screw_puzzle,2025-08-31,IN,interstitial,42831,42080,42135,0.9986946718879791
ios_screw_puzzle,2025-08-31,IN,rewarded,13754,13687,13798,0.9919553558486737
ios_screw_puzzle,2025-08-31,US,interstitial,54346,53695,54389,0.9872400669252974
ios_screw_puzzle,2025-08-31,US,rewarded,26475,26407,26773,0.9863295110745901
ios_screw_puzzle,2025-09-01,IN,interstitial,41737,41049,40987,1.0015126747505307
ios_screw_puzzle,2025-09-01,IN,rewarded,13676,13615,13616,0.9999265569917744
ios_screw_puzzle,2025-09-01,US,interstitial,60030,59309,60054,0.987594498284877
ios_screw_puzzle,2025-09-01,US,rewarded,29714,29635,30134,0.9834406318444282
ios_screw_puzzle,2025-09-02,IN,interstitial,41472,40725,41362,0.9845993907451284
ios_screw_puzzle,2025-09-02,IN,rewarded,13674,13601,13744,0.9895954598370198
ios_screw_puzzle,2025-09-02,US,interstitial,54911,54233,55205,0.9823928991939136
ios_screw_puzzle,2025-09-02,US,rewarded,27280,27184,27712,0.98094688221709
ios_screw_puzzle,2025-09-03,IN,interstitial,36691,36100,36122,0.9993909528819003
ios_screw_puzzle,2025-09-03,IN,rewarded,12708,12651,12660,0.9992890995260664
ios_screw_puzzle,2025-09-03,US,interstitial,53434,52682,53145,0.9912879856995014
ios_screw_puzzle,2025-09-03,US,rewarded,25969,25894,26295,0.9847499524624453
ios_screw_puzzle,2025-09-04,IN,interstitial,34520,33893,34519,0.9818650598221269
ios_screw_puzzle,2025-09-04,IN,rewarded,11841,11793,12036,0.9798105682951147
ios_screw_puzzle,2025-09-04,US,interstitial,53732,53088,53564,0.9911134343962362
ios_screw_puzzle,2025-09-04,US,rewarded,26557,26473,26969,0.9816085134784382
ios_screw_puzzle,2025-09-05,IN,interstitial,32345,31725,31812,0.9972651829498302
ios_screw_puzzle,2025-09-05,IN,rewarded,11339,11299,11366,0.9941052261129685
ios_screw_puzzle,2025-09-05,US,interstitial,52359,51625,51986,0.993055822721502
ios_screw_puzzle,2025-09-05,US,rewarded,26342,26286,26523,0.9910643592353806
ios_screw_puzzle,2025-09-06,IN,interstitial,32840,32307,32893,0.9821846593500136
ios_screw_puzzle,2025-09-06,IN,rewarded,12642,12584,12763,0.9859750842278461
ios_screw_puzzle,2025-09-06,US,interstitial,54494,53799,54497,0.9871919555204873
ios_screw_puzzle,2025-09-06,US,rewarded,27181,27119,27463,0.9874740560026217
ios_screw_puzzle,2025-09-07,IN,interstitial,32772,32202,32509,0.9905564612876434
ios_screw_puzzle,2025-09-07,IN,rewarded,13056,13017,13025,0.9993857965451056
ios_screw_puzzle,2025-09-07,US,interstitial,57357,56602,57062,0.9919385931092496
ios_screw_puzzle,2025-09-07,US,rewarded,29294,29233,29452,0.9925641722124134
ios_screw_puzzle,2025-09-08,IN,interstitial,30370,29901,30188,0.9904929110904995
ios_screw_puzzle,2025-09-08,IN,rewarded,11975,11926,11928,0.999832327297116
ios_screw_puzzle,2025-09-08,US,interstitial,53714,52971,53206,0.9955832049017028
ios_screw_puzzle,2025-09-08,US,rewarded,27376,27310,27582,0.9901384961206584
ios_screw_puzzle,2025-09-09,IN,interstitial,30991,30518,30685,0.9945576014339254
ios_screw_puzzle,2025-09-09,IN,rewarded,12105,12054,12106,0.9957046092846522
ios_screw_puzzle,2025-09-09,US,interstitial,52473,51758,51975,0.9958249158249158
ios_screw_puzzle,2025-09-09,US,rewarded,27237,27162,27346,0.9932714108096248
ios_screw_puzzle,2025-09-10,IN,interstitial,28468,28009,28927,0.9682649427870156
ios_screw_puzzle,2025-09-10,IN,rewarded,11428,11397,11817,0.9644579842599644
ios_screw_puzzle,2025-09-10,US,interstitial,50997,50327,51198,0.9829876167037775
ios_screw_puzzle,2025-09-10,US,rewarded,26923,26860,27314,0.9833784872226697
ios_screw_puzzle,2025-09-11,IN,interstitial,29618,29099,29317,0.9925640413412014
ios_screw_puzzle,2025-09-11,IN,rewarded,10998,10966,10927,1.0035691406607485
ios_screw_puzzle,2025-09-11,US,interstitial,48904,48294,44761,1.0789303188043162
ios_screw_puzzle,2025-09-11,US,rewarded,25090,25009,23591,1.0601076681785426
ios_screw_puzzle,2025-09-12,IN,interstitial,29069,28522,28589,0.9976564412886075
ios_screw_puzzle,2025-09-12,IN,rewarded,11371,11339,11280,1.0052304964539007
ios_screw_puzzle,2025-09-12,US,interstitial,49799,49177,49704,0.9893972316111379
ios_screw_puzzle,2025-09-12,US,rewarded,25582,25529,25870,0.9868187089292617
ios_screw_puzzle,2025-09-13,IN,interstitial,29842,29235,29612,0.9872686748615426
ios_screw_puzzle,2025-09-13,IN,rewarded,11749,11703,11801,0.9916956190153376
ios_screw_puzzle,2025-09-13,US,interstitial,51616,51038,52068,0.9802181762310824
ios_screw_puzzle,2025-09-13,US,rewarded,25799,25750,26286,0.9796089172943773
ios_screw_puzzle,2025-09-14,IN,interstitial,28110,27631,28063,0.9846060649253465
ios_screw_puzzle,2025-09-14,IN,rewarded,11249,11191,11222,0.9972375690607734
ios_screw_puzzle,2025-09-14,US,interstitial,54130,53469,54470,0.9816229116945108
ios_screw_puzzle,2025-09-14,US,rewarded,28146,28084,28724,0.9777189806433645
ios_screw_puzzle,2025-09-15,IN,interstitial,26748,26242,26531,0.9891070822811051
ios_screw_puzzle,2025-09-15,IN,rewarded,10706,10656,10699,0.9959809327974577
ios_screw_puzzle,2025-09-15,US,interstitial,50016,49362,50000,0.98724
ios_screw_puzzle,2025-09-15,US,rewarded,25947,25886,26332,0.9830624335409388
ios_screw_puzzle,2025-09-16,IN,interstitial,26800,26328,26793,0.982644720635987
ios_screw_puzzle,2025-09-16,IN,rewarded,10654,10618,10768,0.9860698365527489
ios_screw_puzzle,2025-09-16,US,interstitial,50295,49636,50217,0.9884302128761177
ios_screw_puzzle,2025-09-16,US,rewarded,25318,25248,25580,0.9870211102423768
ios_screw_puzzle,2025-09-17,IN,interstitial,26818,26331,26542,0.9920503353176098
ios_screw_puzzle,2025-09-17,IN,rewarded,10497,10450,10478,0.997327734300439
ios_screw_puzzle,2025-09-17,US,interstitial,54077,53417,53744,0.9939155998809169
ios_screw_puzzle,2025-09-17,US,rewarded,27898,27817,27849,0.9988509461740098
ios_screw_puzzle,2025-09-18,IN,interstitial,26292,25773,26341,0.9784366576819407
ios_screw_puzzle,2025-09-18,IN,rewarded,10707,10665,10777,0.9896074974482695
ios_screw_puzzle,2025-09-18,US,interstitial,52240,51648,52303,0.987476817773359
ios_screw_puzzle,2025-09-18,US,rewarded,27032,26961,27361,0.9853806512919849
ios_screw_puzzle,2025-09-19,IN,interstitial,26829,26494,26919,0.9842118949440916
ios_screw_puzzle,2025-09-19,IN,rewarded,10523,10492,10583,0.991401303978078
ios_screw_puzzle,2025-09-19,US,interstitial,52407,51994,52447,0.991362709020535
ios_screw_puzzle,2025-09-19,US,rewarded,26564,26502,26756,0.9905068022125878
ios_screw_puzzle,2025-09-20,IN,interstitial,27068,26765,27076,0.9885138129708967
ios_screw_puzzle,2025-09-20,IN,rewarded,10454,10423,10526,0.9902147064411932
ios_screw_puzzle,2025-09-20,US,interstitial,49166,48855,49499,0.9869896361542657
ios_screw_puzzle,2025-09-20,US,rewarded,25767,25715,26135,0.9839295963267649
ios_screw_puzzle,2025-09-21,IN,interstitial,28538,28195,28408,0.992502112081104
ios_screw_puzzle,2025-09-21,IN,rewarded,11085,11039,11172,0.9880952380952381
ios_screw_puzzle,2025-09-21,US,interstitial,52371,52050,52529,0.9908812275124217
ios_screw_puzzle,2025-09-21,US,rewarded,29042,28994,29310,0.9892186966905493
ios_screw_puzzle,2025-09-22,IN,interstitial,26710,26405,26734,0.987693573726341
ios_screw_puzzle,2025-09-22,IN,rewarded,10604,10579,10723,0.9865709223165159
ios_screw_puzzle,2025-09-22,US,interstitial,47621,47301,47983,0.9857866327657712
ios_screw_puzzle,2025-09-22,US,rewarded,26078,25998,26451,0.9828739934217988
ios_screw_puzzle,2025-09-23,IN,interstitial,25378,25084,25767,0.9734932277719563
ios_screw_puzzle,2025-09-23,IN,rewarded,10604,10568,10773,0.9809709458832265
ios_screw_puzzle,2025-09-23,US,interstitial,47986,47656,48404,0.9845467316750681
ios_screw_puzzle,2025-09-23,US,rewarded,27387,27324,27887,0.9798113816473626
ios_screw_puzzle,2025-09-24,IN,interstitial,24230,23943,24253,0.9872180761142951
ios_screw_puzzle,2025-09-24,IN,rewarded,10740,10692,10709,0.9984125501914277
ios_screw_puzzle,2025-09-24,US,interstitial,48685,48340,48980,0.9869334422213148
ios_screw_puzzle,2025-09-24,US,rewarded,27420,27361,27801,0.9841732311787346
ios_screw_puzzle,2025-09-25,IN,interstitial,22895,22483,22955,0.9794380309300806
ios_screw_puzzle,2025-09-25,IN,rewarded,9593,9570,9717,0.984871874035196
ios_screw_puzzle,2025-09-25,US,interstitial,45572,45018,45993,0.9788011219098558
ios_screw_puzzle,2025-09-25,US,rewarded,25394,25313,26032,0.972380147510756
ios_screw_puzzle,2025-09-26,IN,interstitial,21421,21061,22647,0.9299686492692188
ios_screw_puzzle,2025-09-26,IN,rewarded,9051,9009,9708,0.9279975278121138
ios_screw_puzzle,2025-09-26,US,interstitial,41836,41219,43576,0.9459105929869653
ios_screw_puzzle,2025-09-26,US,rewarded,23057,22979,24548,0.9360844060615936
ios_screw_puzzle,2025-09-27,IN,interstitial,22545,22136,22411,0.9877292401053054
ios_screw_puzzle,2025-09-27,IN,rewarded,9536,9500,9641,0.98537496110362
ios_screw_puzzle,2025-09-27,US,interstitial,43253,42675,43103,0.990070296731086
ios_screw_puzzle,2025-09-27,US,rewarded,24832,24774,25215,0.9825104104699584
ios_screw_puzzle,2025-09-28,IN,interstitial,20778,20491,20976,0.9768783371472158
ios_screw_puzzle,2025-09-28,IN,rewarded,9382,9350,9498,0.9844177721625605
ios_screw_puzzle,2025-09-28,US,interstitial,44758,44152,45350,0.9735832414553472
ios_screw_puzzle,2025-09-28,US,rewarded,24671,24604,25310,0.9721058870011853
ios_screw_puzzle,2025-09-29,IN,interstitial,18961,18724,19032,0.9838167297183691
ios_screw_puzzle,2025-09-29,IN,rewarded,8505,8473,8572,0.9884507699486701
ios_screw_puzzle,2025-09-29,US,interstitial,42286,41777,42436,0.9844707323970214
ios_screw_puzzle,2025-09-29,US,rewarded,23677,23607,24056,0.9813352178250748
ios_screw_puzzle,2025-09-30,IN,interstitial,19065,18730,19311,0.9699135207912589
ios_screw_puzzle,2025-09-30,IN,rewarded,8327,8295,8435,0.983402489626556
ios_screw_puzzle,2025-09-30,US,interstitial,42005,41524,42454,0.9780939369670703
ios_screw_puzzle,2025-09-30,US,rewarded,23560,23506,24194,0.9715631974869803
ios_screw_puzzle,2025-10-01,IN,interstitial,20098,19822,20476,0.9680601680015628
ios_screw_puzzle,2025-10-01,IN,rewarded,8224,8201,8374,0.9793408168139479
ios_screw_puzzle,2025-10-01,US,interstitial,42340,41742,42698,0.9776101925148719
ios_screw_puzzle,2025-10-01,US,rewarded,22895,22800,23349,0.9764872157265836
ios_screw_puzzle,2025-10-02,IN,interstitial,19436,19019,19323,0.984267453294002
ios_screw_puzzle,2025-10-02,IN,rewarded,8274,8237,8329,0.9889542562132309
ios_screw_puzzle,2025-10-02,US,interstitial,42897,42434,43162,0.983133311709374
ios_screw_puzzle,2025-10-02,US,rewarded,24406,24333,24852,0.9791163689039112
ios_screw_puzzle,2025-10-03,IN,interstitial,19018,18590,18807,0.9884617429680438
ios_screw_puzzle,2025-10-03,IN,rewarded,8097,8066,8152,0.989450441609421
ios_screw_puzzle,2025-10-03,US,interstitial,42159,41692,42435,0.9824908683869448
ios_screw_puzzle,2025-10-03,US,rewarded,23301,23227,23684,0.9807042729268705
ios_screw_puzzle,2025-10-04,IN,interstitial,21315,20908,21185,0.9869247108803398
ios_screw_puzzle,2025-10-04,IN,rewarded,8693,8653,8766,0.987109285877253
ios_screw_puzzle,2025-10-04,US,interstitial,41725,41306,42027,0.982844361957789
ios_screw_puzzle,2025-10-04,US,rewarded,22584,22522,22831,0.9864657702246945
ios_screw_puzzle,2025-10-05,IN,interstitial,21104,20642,20886,0.9883175332758786
ios_screw_puzzle,2025-10-05,IN,rewarded,8962,8931,8954,0.9974313156131338
ios_screw_puzzle,2025-10-05,US,interstitial,46419,45909,46783,0.9813180001282518
ios_screw_puzzle,2025-10-05,US,rewarded,25264,25195,25679,0.9811519140153433
ios_screw_puzzle,2025-10-06,IN,interstitial,20385,20002,20231,0.988680737482082
ios_screw_puzzle,2025-10-06,IN,rewarded,8482,8464,8490,0.9969375736160189
ios_screw_puzzle,2025-10-06,US,interstitial,43380,42943,43726,0.9820930338928784
ios_screw_puzzle,2025-10-06,US,rewarded,24420,24373,24718,0.9860425600776762
ios_screw_puzzle,2025-10-07,IN,interstitial,23788,23443,23924,0.9798946664437385
ios_screw_puzzle,2025-10-07,IN,rewarded,9687,9648,9724,0.9921842863019333
ios_screw_puzzle,2025-10-07,US,interstitial,43350,42883,43827,0.9784607661943551
ios_screw_puzzle,2025-10-07,US,rewarded,23393,23312,23806,0.9792489288414685
ios_screw_puzzle,2025-10-08,IN,interstitial,22056,21616,22347,0.9672886740949568
ios_screw_puzzle,2025-10-08,IN,rewarded,9117,9097,9275,0.9808086253369273
ios_screw_puzzle,2025-10-08,US,interstitial,41806,41307,42858,0.9638107237855242
ios_screw_puzzle,2025-10-08,US,rewarded,22864,22801,23587,0.96667655912155
ios_screw_puzzle,2025-10-09,IN,interstitial,20344,19938,22050,0.90421768707483
ios_screw_puzzle,2025-10-09,IN,rewarded,8230,8196,8998,0.9108690820182263
ios_screw_puzzle,2025-10-09,US,interstitial,38084,37567,40893,0.9186657863203971
ios_screw_puzzle,2025-10-09,US,rewarded,21376,21300,23348,0.91228370738393
ios_screw_puzzle,2025-10-10,IN,interstitial,19486,18988,19982,0.950255229706736
ios_screw_puzzle,2025-10-10,IN,rewarded,8329,8290,8634,0.9601575167940699
ios_screw_puzzle,2025-10-10,US,interstitial,38983,38376,39966,0.9602161837561928
ios_screw_puzzle,2025-10-10,US,rewarded,21635,21567,22567,0.9556875083085922
ios_screw_puzzle,2025-10-11,IN,interstitial,18841,18376,19518,0.941489906752741
ios_screw_puzzle,2025-10-11,IN,rewarded,7756,7711,8092,0.9529164607019278
ios_screw_puzzle,2025-10-11,US,interstitial,38456,37903,39792,0.9525281463610776
ios_screw_puzzle,2025-10-11,US,rewarded,21147,21071,22159,0.9509003113858928
ios_screw_puzzle,2025-10-12,IN,interstitial,18711,18214,18772,0.9702748774770935
ios_screw_puzzle,2025-10-12,IN,rewarded,7908,7853,8076,0.9723873204556711
ios_screw_puzzle,2025-10-12,US,interstitial,42964,42326,43580,0.9712253327214319
ios_screw_puzzle,2025-10-12,US,rewarded,23456,23387,24009,0.9740930484401683
ios_screw_puzzle,2025-10-13,IN,interstitial,18646,18190,18688,0.9733518835616438
ios_screw_puzzle,2025-10-13,IN,rewarded,7561,7512,7728,0.9720496894409938
