ad_format,unmatched_request_cnt,unmatched_with_adslog_error_cnt,unmatched_without_adslog_error_cnt,unmatched_with_adslog_error_ratio
interstitial,4901937,4227112,674825,0.8623350320495755
rewarded,4403641,2178608,2225033,0.49472879374136086
