product,ad_format,experiment_group,network_name,show_pv,impression_pv,display_failed_pv,impression_show_rate,impression_plus_failed_show_rate
screw_puzzle,rewarded,no_is_adx,Pangle,1912484,1834869,5130,0.9594166539432487,0.9620990293252126
screw_puzzle,rewarded,no_is_adx,APPLOVIN_EXCHANGE,282078,273879,3018,0.9709335715653117,0.9816327398804586
screw_puzzle,rewarded,no_is_adx,Liftoff_custom,107896,96778,2880,0.8969563283161563,0.9236486987469416
screw_puzzle,rewarded,no_is_adx,Ogury,177612,169521,2476,0.9544456455644889,0.9683861450802874
screw_puzzle,rewarded,no_is_adx,TpAdxCustomAdapter,17560,15411,2099,0.877619589977221,0.9971526195899773
screw_puzzle,rewarded,no_is_adx,Chartboost,18909,17207,1120,0.9099899518747686,0.9692210058702205
screw_puzzle,rewarded,no_is_adx,LINE,16963,15232,985,0.8979543712786653,0.9560219300831221
screw_puzzle,rewarded,no_is_adx,Google Ad Manager,129293,125744,831,0.972550718136326,0.978977980246417
screw_puzzle,rewarded,no_is_adx,BidMachine,129572,120897,581,0.9330488068409841,0.9375328002963603
screw_puzzle,rewarded,no_is_adx,BIGO Ads,75239,72009,270,0.9570701364983586,0.9606587009396722
screw_puzzle,rewarded,no_is_adx,Yandex,106608,99627,78,0.9345171094101756,0.9352487618190004
screw_puzzle,rewarded,no_is_adx,PubMatic,9984,9710,73,0.9725560897435898,0.9798677884615384
screw_puzzle,rewarded,no_is_adx,IsAdxCustomAdapter,288,273,5,0.9479166666666666,0.9652777777777778
