ab_group,lt_day,retained_users,total_new_users,retention_rate,ad_format,avg_cum_hudi_lti,avg_cum_hudi_ltv,avg_cum_max_lti,avg_cum_max_ltv
A,0,1547384,1576925,0.98126670577231,banner,22.196720199121707,0.008120896103492356,23.549412939740318,0.008425228237233578
A,0,1547384,1576925,0.98126670577231,interstitial,2.612908033038984,0.06593661596080981,2.6352407375112956,0.06660756711384491
A,0,1547384,1576925,0.98126670577231,rewarded,0.5658512611569986,0.0120278989235379,0.5610843889214769,0.011967556739223478
A,1,520535,1576925,0.33009496329882526,banner,29.735858078221856,0.009953498320465265,31.771174913201325,0.010275518452050407
A,1,520535,1576925,0.33009496329882526,interstitial,3.5900838657513834,0.0775804870263329,3.651262425289725,0.0787595397580734
A,1,520535,1576925,0.33009496329882526,rewarded,0.8513347178844903,0.015713100257780176,0.8545992992691472,0.015754996961808574
A,2,367935,1576925,0.2333243496044517,banner,34.37419090952328,0.010992763459898023,36.957991660985776,0.011337478752635403
A,2,367935,1576925,0.2333243496044517,interstitial,4.202779460025049,0.08326550716743028,4.306608748038112,0.08495773892734271
A,2,367935,1576925,0.2333243496044517,rewarded,1.0428295575249298,0.017858541111974255,1.0574935396420249,0.018029809494427434
A,3,307061,1576925,0.19472137229100941,banner,37.963489703061335,0.011772494656372173,41.047084674286985,0.012146586585918528
A,3,307061,1576925,0.19472137229100941,interstitial,4.680467365283701,0.08728813385290994,4.8287673795519765,0.08944243287791107
A,3,307061,1576925,0.19472137229100941,rewarded,1.1967664917481808,0.01943063275044787,1.2242027997526832,0.019721975107884
A,4,269255,1576925,0.17074686494284763,banner,40.95637332149595,0.012413566802479313,44.520273950885425,0.01282312050351131
A,4,269255,1576925,0.17074686494284763,interstitial,5.080102097436466,0.0903803088168429,5.2744461531144475,0.09301517144696157
A,4,269255,1576925,0.17074686494284763,rewarded,1.3289179891244034,0.02073367065523091,1.3699465732358862,0.021158467027918244
A,5,244527,1576925,0.15506571333449592,banner,43.579363634922395,0.012972501546997915,47.6162290533792,0.013417037575027073
A,5,244527,1576925,0.15506571333449592,interstitial,5.428445233603374,0.09299478670894304,5.669871426986065,0.09606526799879504
A,5,244527,1576925,0.15506571333449592,rewarded,1.445159408342185,0.02185759438717758,1.4997016345102019,0.022381735064762102
A,6,225637,1576925,0.14308670355280054,banner,45.97845046530431,0.013471939898219439,50.48791667327235,0.013957881634192855
A,6,225637,1576925,0.14308670355280054,interstitial,5.7481154779079535,0.09531142676601614,6.0381920509853035,0.0988441263623824
A,6,225637,1576925,0.14308670355280054,rewarded,1.552621082169412,0.02289644050541402,1.6221158266880162,0.023551009572427332
A,7,211309,1576925,0.13400066585284653,banner,48.21190100987682,0.013948250021402214,53.184878164782724,0.014472135598712407
A,7,211309,1576925,0.13400066585284653,interstitial,6.044253214325348,0.09736679380630024,6.3836105077920635,0.10132779704171085
A,7,211309,1576925,0.13400066585284653,rewarded,1.6540285682578435,0.023850497877831858,1.7380966120773023,0.02462256242814336
A,8,196040,1576925,0.12431789717329612,banner,50.221343437386054,0.014368620456267538,55.63228815574615,0.014929705402602888
A,8,196040,1576925,0.12431789717329612,interstitial,6.311231035084104,0.09916463093235253,6.698953976885394,0.10352347488307934
A,8,196040,1576925,0.12431789717329612,rewarded,1.7465973334178861,0.024693138997098785,1.8449355549566402,0.02556960409277548
A,9,184207,1576925,0.11681405266578943,banner,52.050906035480445,0.014747852220619044,57.88055170664426,0.015348880102097158
A,9,184207,1576925,0.11681405266578943,interstitial,6.555827322161802,0.10075540009068283,6.991000840242878,0.10551404554370047
A,9,184207,1576925,0.11681405266578943,rewarded,1.8328011795107566,0.025452110172646134,1.9457336271541132,0.02644167014220713
A,10,174805,1576925,0.11085181603437069,banner,53.77454286031359,0.015099704254165345,60.01670593084643,0.01573748134058345
A,10,174805,1576925,0.11085181603437069,interstitial,6.7849973841495315,0.10219366980484171,7.26650855303835,0.10731734305055718
A,10,174805,1576925,0.11085181603437069,rewarded,1.9150682499167684,0.026158018985684168,2.042610143158362,0.02726111309795962
A,11,167219,1576925,0.10604118775464907,banner,55.39480064048703,0.015428193770787883,62.04323350825182,0.016101278622635544
A,11,167219,1576925,0.10604118775464907,interstitial,7.00110024256068,0.10350009956529321,7.528546379821488,0.10900622496567679
A,11,167219,1576925,0.10604118775464907,rewarded,1.9923648873598934,0.02679325907319625,2.1340843730678376,0.027998699024367024
A,12,160918,1576925,0.10204543652995546,banner,56.94237138735197,0.01573940764969779,63.981484217702175,0.01644579595605343
A,12,160918,1576925,0.10204543652995546,interstitial,7.206438479953073,0.10474636895350128,7.780477194540007,0.11059931012381685
A,12,160918,1576925,0.10204543652995546,rewarded,2.0674026982893925,0.027385111256400908,2.2238178733928375,0.028694933996226815
A,13,155524,1576925,0.09862485533554227,banner,58.41955007371942,0.016035595309859176,65.84469267720405,0.01677891137308341
A,13,155524,1576925,0.09862485533554227,interstitial,7.403491605498042,0.10591681534885933,8.022423387288551,0.11211718016899973
A,13,155524,1576925,0.09862485533554227,rewarded,2.139888073307228,0.02797061153891276,2.3104542067631626,0.029377649612378504
A,14,150574,1576925,0.09548583477337223,banner,59.86441967753698,0.01632234630499211,67.6735938614709,0.017101867987380222
A,14,150574,1576925,0.09548583477337223,interstitial,7.59512151814449,0.10710553312617911,8.25810105109628,0.11364174300933771
A,14,150574,1576925,0.09548583477337223,rewarded,2.21102525484725,0.02856761104237678,2.395797517320101,0.03006976234443615
A,15,144127,1576925,0.09139749829573379,banner,61.22395484883555,0.016588171284620184,69.40675174786372,0.017404756138053208
A,15,144127,1576925,0.09139749829573379,interstitial,7.773844031897522,0.10812209736671052,8.480539023732899,0.11498360770613687
A,15,144127,1576925,0.09139749829573379,rewarded,2.2785103920604977,0.0290874436919955,2.4775896126955943,0.030683600636682132
A,16,138573,1576925,0.08787545381042218,banner,62.51761624680945,0.01684297901929368,71.05380534901786,0.017695876167858046
A,16,138573,1576925,0.08787545381042218,interstitial,7.945722846679455,0.1091052614131934,8.694508616452907,0.11628809310969127
A,16,138573,1576925,0.08787545381042218,rewarded,2.343870507474991,0.02958739941024462,2.5567201991217083,0.031277701567290754
