product,dau_all,dau_engagement,dau_no_engagement,dau_no_eng_no_game_has_alive,alive_only_new,alive_only_old
ball_sort,1758356,1025995,732361,681692,3022,678670
ios_nuts_sort,56743,54022,2721,0,0,0
