date,country_id,ab_group,ad_format,impression,revenue,dau
2026-02-04,Brazil,MAX,INTER,509,5.926643000000002,111
2026-02-04,Brazil,MAX,REWARD,186,1.8911650000000004,111
2026-02-04,Brazil,ULP,BANNER,4300,0.1897630000000001,83
2026-02-04,Brazil,ULP,INTER,409,2.074957999999999,83
2026-02-04,Brazil,ULP,REWARD,158,1.243359,83
2026-02-05,Brazil,MAX,BANNER,4287,0.32905599999999824,106
2026-02-05,Brazil,MAX,INTER,518,13.470759999999995,106
2026-02-05,Brazil,MAX,REWARD,152,1.2671480000000002,106
2026-02-05,Brazil,ULP,BANNER,3375,0.16749399999999992,90
2026-02-05,Brazil,ULP,INTER,318,2.36202,90
2026-02-05,Brazil,ULP,REWARD,119,1.6158389999999996,90
2026-02-06,Brazil,MAX,BANNER,4898,0.2881179999999979,101
2026-02-06,Brazil,MAX,INTER,422,7.752980999999999,101
2026-02-06,Brazil,MAX,REWARD,152,1.4795220000000002,101
2026-02-06,Brazil,ULP,BANNER,4180,0.2273310000000001,95
2026-02-06,Brazil,ULP,INTER,438,2.8694450000000002,95
2026-02-06,Brazil,ULP,REWARD,152,4.273123999999996,95
2026-02-07,Brazil,MAX,BANNER,4979,0.28820900000000027,93
2026-02-07,Brazil,MAX,INTER,483,4.097347,93
2026-02-07,Brazil,MAX,REWARD,152,1.3601100000000002,93
2026-02-07,Brazil,ULP,BANNER,3623,0.227555,96
2026-02-07,Brazil,ULP,INTER,409,4.765556000000001,96
2026-02-07,Brazil,ULP,REWARD,144,1.2356969999999998,96
2026-02-08,Brazil,MAX,BANNER,3511,0.2511610000000002,96
2026-02-08,Brazil,MAX,INTER,445,4.678108,96
2026-02-08,Brazil,MAX,REWARD,103,1.279601,96
2026-02-08,Brazil,ULP,BANNER,4805,0.26848399999999994,92
2026-02-08,Brazil,ULP,INTER,605,5.486324,92
2026-02-08,Brazil,ULP,REWARD,177,2.6839120000000003,92
2026-02-09,Brazil,MAX,BANNER,3780,0.2853719999999994,92
2026-02-09,Brazil,MAX,INTER,537,4.787356999999998,92
2026-02-09,Brazil,MAX,REWARD,115,1.326755,92
2026-02-09,Brazil,ULP,BANNER,4646,0.27646599999999993,94
2026-02-09,Brazil,ULP,INTER,506,6.168481999999998,94
2026-02-09,Brazil,ULP,REWARD,142,2.2021089999999997,94
2026-02-10,Brazil,MAX,BANNER,4082,0.2714339999999992,81
2026-02-10,Brazil,MAX,INTER,534,3.5765959999999986,81
2026-02-10,Brazil,MAX,REWARD,114,0.9537010000000004,81
2026-02-10,Brazil,ULP,BANNER,4828,0.2631800000000001,91
2026-02-10,Brazil,ULP,INTER,557,5.691634999999999,91
2026-02-10,Brazil,ULP,REWARD,164,3.6401229999999978,91
2026-02-11,Brazil,MAX,BANNER,3053,0.21439199999999958,84
2026-02-11,Brazil,MAX,INTER,345,3.100159,84
2026-02-11,Brazil,MAX,REWARD,102,0.9064770000000001,84
2026-02-11,Brazil,ULP,BANNER,3818,0.22025199999999995,94
2026-02-11,Brazil,ULP,INTER,395,2.3765789999999987,94
2026-02-11,Brazil,ULP,REWARD,113,2.0199759999999998,94
2026-02-12,Brazil,MAX,BANNER,3444,0.2566159999999982,89
2026-02-12,Brazil,MAX,INTER,416,4.212659,89
2026-02-12,Brazil,MAX,REWARD,119,1.295677,89
2026-02-12,Brazil,ULP,BANNER,3307,0.24122599999999997,82
2026-02-12,Brazil,ULP,INTER,273,1.915068,82
2026-02-12,Brazil,ULP,REWARD,107,1.0861099999999997,82
2026-02-13,Brazil,MAX,BANNER,3174,0.3245950000000003,89
2026-02-13,Brazil,MAX,INTER,399,15.845374999999999,89
2026-02-13,Brazil,MAX,REWARD,67,0.589647,89
2026-02-13,Brazil,ULP,BANNER,3180,0.25043000000000004,81
2026-02-13,Brazil,ULP,INTER,298,1.462810999999999,81
2026-02-13,Brazil,ULP,REWARD,87,0.8825699999999999,81
2026-02-14,Brazil,MAX,BANNER,4136,0.38465700000000136,92
2026-02-14,Brazil,MAX,INTER,463,5.876284,92
2026-02-14,Brazil,MAX,REWARD,154,5.062847,92
2026-02-14,Brazil,ULP,BANNER,4790,0.279204,107
2026-02-14,Brazil,ULP,INTER,506,2.1617569999999993,107
2026-02-14,Brazil,ULP,REWARD,123,0.6142470000000002,107
2026-02-15,Brazil,MAX,BANNER,2949,0.268569999999997,92
2026-02-15,Brazil,MAX,INTER,379,3.6118049999999995,92
2026-02-15,Brazil,MAX,REWARD,106,1.1334019999999996,92
2026-02-15,Brazil,ULP,BANNER,5173,0.32305300000000003,99
2026-02-15,Brazil,ULP,INTER,537,3.9039719999999987,99
2026-02-15,Brazil,ULP,REWARD,123,1.4544179999999998,99
2026-02-16,Brazil,MAX,BANNER,3386,0.2829119999999977,103
2026-02-16,Brazil,MAX,INTER,397,7.920128999999999,103
2026-02-16,Brazil,MAX,REWARD,141,1.3375079999999997,103
2026-02-16,Brazil,ULP,BANNER,6897,0.4005890000000001,108
2026-02-16,Brazil,ULP,INTER,735,5.608023000000001,108
2026-02-16,Brazil,ULP,REWARD,224,3.120529999999999,108
2026-02-17,Brazil,MAX,BANNER,5081,0.3925590000000002,114
2026-02-17,Brazil,MAX,INTER,641,16.323621000000006,114
2026-02-17,Brazil,MAX,REWARD,181,4.704374,114
2026-02-17,Brazil,ULP,BANNER,8287,0.4126860000000001,116
2026-02-17,Brazil,ULP,INTER,866,5.151719000000001,116
2026-02-17,Brazil,ULP,REWARD,310,2.2663910000000005,116
2026-02-18,Brazil,MAX,BANNER,5111,0.43649900000000436,115
2026-02-18,Brazil,MAX,INTER,688,10.658680000000004,115
2026-02-18,Brazil,MAX,REWARD,183,3.468121,115
2026-02-18,Brazil,ULP,BANNER,7178,0.4586580000000002,104
2026-02-18,Brazil,ULP,INTER,745,5.235995000000001,104
2026-02-18,Brazil,ULP,REWARD,213,1.6526319999999994,104
2026-02-19,Brazil,MAX,BANNER,5057,0.40085500000000285,117
2026-02-19,Brazil,MAX,INTER,636,6.846096000000001,117
2026-02-19,Brazil,MAX,REWARD,160,1.4561080000000002,117
2026-02-19,Brazil,ULP,BANNER,4819,0.27086899999999997,101
2026-02-19,Brazil,ULP,INTER,609,2.351857,101
2026-02-19,Brazil,ULP,REWARD,135,0.791618,101
2026-02-20,Brazil,MAX,BANNER,4359,0.32551799999999964,93
2026-02-20,Brazil,MAX,INTER,506,6.177119999999999,93
2026-02-20,Brazil,MAX,REWARD,172,2.4293289999999996,93
2026-02-20,Brazil,ULP,BANNER,5034,0.30822500000000014,89
2026-02-20,Brazil,ULP,INTER,523,7.078778000000001,89
2026-02-20,Brazil,ULP,REWARD,150,1.0541440000000004,89
2026-02-21,Brazil,MAX,BANNER,4124,0.3616570000000008,105
2026-02-21,Brazil,MAX,INTER,521,5.985695999999999,105
2026-02-21,Brazil,MAX,REWARD,156,1.876534,105
2026-02-21,Brazil,ULP,BANNER,5123,0.3034199999999999,107
