log_date,user_id,app_id,unit_id,ecpm,ecpm_cny,network_id,adsource_id,scene_id,slim_name,partition_date
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,6AA798CDB3034C2A04FCD480D02C1AF4,0.07227714,0.0,10305,2717731480,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,B5E74925A701E44E898C80344446EAE9,0.4116604,0.0,10305,2717734026,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,B5E74925A701E44E898C80344446EAE9,0.21340515,0.0,10305,2717734026,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,B5E74925A701E44E898C80344446EAE9,0.062186964,0.0,10305,2717734026,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,B5E74925A701E44E898C80344446EAE9,0.18817258,0.0,10305,2717734026,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,6AA798CDB3034C2A04FCD480D02C1AF4,0.39763653,0.0,10305,2717731480,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,B5E74925A701E44E898C80344446EAE9,1.2370162,0.0,10305,2717734026,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,6AA798CDB3034C2A04FCD480D02C1AF4,0.94200474,0.0,10305,2717731480,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,DD50A085140081615F536633B74F4E96,1.2666878,0.0,10305,2717730532,victorygohome,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,6AA798CDB3034C2A04FCD480D02C1AF4,0.2766751,0.0,10305,2717731480,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,6AA798CDB3034C2A04FCD480D02C1AF4,0.5725892,0.0,10305,2717731480,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,436AAF3C5A73773954258B0F47720703,0.36570424,0.0,10305,2717728051,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,6AA798CDB3034C2A04FCD480D02C1AF4,0.22321814,0.0,10305,2717731480,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,436AAF3C5A73773954258B0F47720703,0.01,0.0,10305,2717728051,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,B5E74925A701E44E898C80344446EAE9,0.44096953,0.0,10305,2717734026,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,6AA798CDB3034C2A04FCD480D02C1AF4,1.8356875,0.0,10305,2717731480,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,B5E74925A701E44E898C80344446EAE9,0.062186964,0.0,10305,2717734026,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,B5E74925A701E44E898C80344446EAE9,0.35891578,0.0,10305,2717734026,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,6AA798CDB3034C2A04FCD480D02C1AF4,0.5518593,0.0,10305,2717731480,,car_jam,2026-04-01
2026-04-01,,4925CFAA3FA0144A611342E2076552BA,B5E74925A701E44E898C80344446EAE9,0.06604107,0.0,10305,2717734026,,car_jam,2026-04-01
