date,product,ad_format,experiment_group,network,source,impression,revenue,ecpm
2026-01-27,car_jam,BANNER,no_tp_adx,TIKTOK_BIDDING,max,3772,0.4807739999999999,0.12745864262990456
2026-01-27,car_jam,BANNER,no_tp_adx,UNITY_BIDDING,max,7812,1.3745159999999998,0.17594930875576034
2026-01-27,car_jam,BANNER,no_tp_adx,VERVE_BIDDING,max,77,0.012947000000000002,0.16814285714285718
2026-01-27,car_jam,BANNER,no_tp_adx,VUNGLE_BIDDING,max,3541,0.28137800000000013,0.07946286359785376
2026-01-27,car_jam,BANNER,no_tp_adx,YANDEX_BIDDING,max,1974,0.03560100000000001,0.018034954407294836
2026-01-27,car_jam,INTER,have_tp_adx,ADMOB_BIDDING,max,6696,42.16736900000001,6.297396804062128
2026-01-27,car_jam,INTER,have_tp_adx,ADMOB_NETWORK,max,275,10.264000000000001,37.32363636363637
2026-01-27,car_jam,INTER,have_tp_adx,AMAZON_MARKETPLACE_NETWORK,max,222,1.1518,5.188288288288288
2026-01-27,car_jam,INTER,have_tp_adx,APPLOVIN_EXCHANGE,max,651,1.4797389999999997,2.2730245775729645
2026-01-27,car_jam,INTER,have_tp_adx,APPLOVIN_NETWORK,max,15198,201.41506600000002,13.252734965126992
2026-01-27,car_jam,INTER,have_tp_adx,BIDMACHINE_BIDDING,max,30,0.07630600000000001,2.543533333333334
2026-01-27,car_jam,INTER,have_tp_adx,BIGO_BIDDING,max,21,0.036022,1.7153333333333332
2026-01-27,car_jam,INTER,have_tp_adx,CUSTOM_NETWORK_SDK,max,95,1.4165999999999987,14.911578947368408
2026-01-27,car_jam,INTER,have_tp_adx,FACEBOOK_NETWORK,max,6665,71.54863,10.734978244561141
2026-01-27,car_jam,INTER,have_tp_adx,FYBER_BIDDING,max,1209,7.507761,6.209893300248139
2026-01-27,car_jam,INTER,have_tp_adx,GOOGLE_AD_MANAGER_NETWORK,max,354,2.4427000000000008,6.900282485875708
2026-01-27,car_jam,INTER,have_tp_adx,INMOBI_BIDDING,max,3706,25.055751,6.760861036157582
2026-01-27,car_jam,INTER,have_tp_adx,IRONSOURCE_BIDDING,max,678,4.775186,7.043047197640117
2026-01-27,car_jam,INTER,have_tp_adx,MINTEGRAL_BIDDING,max,1614,17.774051,11.012423172242874
2026-01-27,car_jam,INTER,have_tp_adx,MOLOCO_BIDDING,max,1013,9.105589999999998,8.98873642645607
2026-01-27,car_jam,INTER,have_tp_adx,OGURY_PRESAGE_BIDDING,max,548,1.3701129999999997,2.500206204379561
2026-01-27,car_jam,INTER,have_tp_adx,PUBMATIC_BIDDING,max,3,0.009497,3.1656666666666666
2026-01-27,car_jam,INTER,have_tp_adx,TIKTOK_BIDDING,max,1653,5.254569000000002,3.1788076225045385
2026-01-27,car_jam,INTER,have_tp_adx,TradPlus_ADX,max,20,0.02200000000000001,1.1000000000000005
2026-01-27,car_jam,INTER,have_tp_adx,TradPlus_ADX,tradplus_rt,20,0.033932207,1.6966103499999998
2026-01-27,car_jam,INTER,have_tp_adx,UNITY_BIDDING,max,4406,55.27452199999998,12.545284157966405
2026-01-27,car_jam,INTER,have_tp_adx,VERVE_BIDDING,max,6,0.009881000000000001,1.6468333333333334
2026-01-27,car_jam,INTER,have_tp_adx,VUNGLE_BIDDING,max,996,9.728624000000002,9.767694779116468
2026-01-27,car_jam,INTER,have_tp_adx,YANDEX_BIDDING,max,50,0.11915400000000001,2.38308
2026-01-27,car_jam,INTER,no_tp_adx,ADMOB_BIDDING,max,7073,35.671057999999995,5.043271313445497
2026-01-27,car_jam,INTER,no_tp_adx,ADMOB_NETWORK,max,304,10.049,33.05592105263158
2026-01-27,car_jam,INTER,no_tp_adx,AMAZON_MARKETPLACE_NETWORK,max,193,0.9966,5.163730569948187
2026-01-27,car_jam,INTER,no_tp_adx,APPLOVIN_EXCHANGE,max,644,1.2537820000000002,1.9468664596273295
2026-01-27,car_jam,INTER,no_tp_adx,APPLOVIN_NETWORK,max,15980,198.859329,12.444263391739675
2026-01-27,car_jam,INTER,no_tp_adx,BIDMACHINE_BIDDING,max,43,0.14832799999999996,3.449488372093022
2026-01-27,car_jam,INTER,no_tp_adx,BIGO_BIDDING,max,41,0.535302,13.056146341463412
2026-01-27,car_jam,INTER,no_tp_adx,CUSTOM_NETWORK_SDK,max,98,1.1190999999999998,11.419387755102038
2026-01-27,car_jam,INTER,no_tp_adx,FACEBOOK_NETWORK,max,6216,57.04849800000001,9.177686293436295
