date,country_id,ab_group,ad_format,impression,revenue,dau
2026-02-04,Brazil,MAX,BANNER,5360,0.40757800000001054,120
2026-02-04,Brazil,MAX,INTER,537,6.425679000000003,120
2026-02-04,Brazil,MAX,REWARD,191,2.0268010000000003,120
2026-02-04,Brazil,ULP,BANNER,4473,0.22176200000000001,98
2026-02-04,Brazil,ULP,INTER,423,2.535458,98
2026-02-04,Brazil,ULP,REWARD,156,1.4599790000000004,98
2026-02-05,Brazil,MAX,BANNER,4846,0.37931399999999915,122
2026-02-05,Brazil,MAX,INTER,563,14.023488999999994,122
2026-02-05,Brazil,MAX,REWARD,170,1.5680420000000002,122
2026-02-05,Brazil,ULP,BANNER,3736,0.199274,108
2026-02-05,Brazil,ULP,INTER,342,2.7259139999999986,108
2026-02-05,Brazil,ULP,REWARD,128,1.6796460000000002,108
2026-02-06,Brazil,MAX,BANNER,5038,0.3055839999999989,117
2026-02-06,Brazil,MAX,INTER,430,8.027655,117
2026-02-06,Brazil,MAX,REWARD,155,1.5188280000000003,117
2026-02-06,Brazil,ULP,BANNER,4292,0.280056,109
2026-02-06,Brazil,ULP,INTER,444,3.5126629999999994,109
2026-02-06,Brazil,ULP,REWARD,148,4.431733999999998,109
2026-02-07,Brazil,MAX,BANNER,5314,0.33494100000000004,112
2026-02-07,Brazil,MAX,INTER,508,5.102295,112
2026-02-07,Brazil,MAX,REWARD,153,1.4207910000000001,112
2026-02-07,Brazil,ULP,BANNER,4523,0.29141000000000006,123
2026-02-07,Brazil,ULP,INTER,511,5.745958000000001,123
2026-02-07,Brazil,ULP,REWARD,157,1.4778019999999996,123
2026-02-08,Brazil,MAX,BANNER,3861,0.3424130000000002,122
2026-02-08,Brazil,MAX,INTER,474,6.181145,122
2026-02-08,Brazil,MAX,REWARD,106,1.375594,122
2026-02-08,Brazil,ULP,BANNER,5328,0.3294250000000001,120
2026-02-08,Brazil,ULP,INTER,653,6.5415610000000015,120
2026-02-08,Brazil,ULP,REWARD,183,2.7928059999999997,120
2026-02-09,Brazil,MAX,BANNER,4050,0.31702400000000025,107
2026-02-09,Brazil,MAX,INTER,561,5.274604999999999,107
2026-02-09,Brazil,MAX,REWARD,123,1.574181,107
2026-02-09,Brazil,ULP,BANNER,4820,0.30081699999999983,108
2026-02-09,Brazil,ULP,INTER,517,6.477909000000001,108
2026-02-09,Brazil,ULP,REWARD,142,2.234138999999999,108
2026-02-10,Brazil,MAX,BANNER,4420,0.3145599999999993,97
2026-02-10,Brazil,MAX,INTER,567,4.432871000000002,97
2026-02-10,Brazil,MAX,REWARD,115,0.9717090000000004,97
2026-02-10,Brazil,ULP,BANNER,5042,0.2802040000000001,108
2026-02-10,Brazil,ULP,INTER,580,5.941652000000002,108
2026-02-10,Brazil,ULP,REWARD,165,3.680132999999998,108
2026-02-11,Brazil,MAX,BANNER,3313,0.2483449999999996,101
2026-02-11,Brazil,MAX,INTER,368,4.158819000000002,101
2026-02-11,Brazil,MAX,REWARD,103,0.927975,101
2026-02-11,Brazil,ULP,BANNER,3897,0.2269180000000001,98
2026-02-11,Brazil,ULP,INTER,403,2.5123659999999997,98
2026-02-11,Brazil,ULP,REWARD,114,2.0411659999999996,98
2026-02-12,Brazil,MAX,BANNER,3646,0.28988100000000017,98
2026-02-12,Brazil,MAX,INTER,437,4.557142000000001,98
2026-02-12,Brazil,MAX,REWARD,120,1.321758,98
2026-02-12,Brazil,ULP,BANNER,3560,0.26451899999999995,99
2026-02-12,Brazil,ULP,INTER,296,2.257297999999999,99
2026-02-12,Brazil,ULP,REWARD,111,1.2073390000000004,99
2026-02-13,Brazil,MAX,BANNER,3511,0.37262199999999984,105
2026-02-13,Brazil,MAX,INTER,421,16.366259000000003,105
2026-02-13,Brazil,MAX,REWARD,70,0.7806499999999998,105
2026-02-13,Brazil,ULP,BANNER,3497,0.27365699999999993,86
2026-02-13,Brazil,ULP,INTER,313,1.526963,86
2026-02-13,Brazil,ULP,REWARD,91,0.7927599999999999,86
