dt,A_impression_pv,A_revenue_usd,A_ecpm,B_impression_pv,B_revenue_usd,B_ecpm
2026-03-23,5344,116.069644,21.719619011976047,6182,113.80289900000001,18.408751051439666
2026-03-24,15706,300.05754499999995,19.104644403412703,16834,287.33987700000006,17.06901966258762
2026-03-25,28387,525.418799,18.509134427731002,28987,434.4003680000001,14.986040914892888
2026-03-26,32976,550.3178390000004,16.688435195293557,34036,477.67862799999983,14.034511340933125
2026-03-27,34989,570.6940320000001,16.310669981994344,34709,518.75234,14.945758736927022
2026-03-28,34660,591.7484079999998,17.072948874783606,36557,583.5081309999997,15.961597806165706
