dt,ab_group,impression_pv,revenue_usd,ecpm
2026-03-23,A,5344,116.069644,21.719619011976047
2026-03-23,B,6182,113.80289900000001,18.408751051439666
2026-03-24,A,15706,300.05754499999995,19.104644403412703
2026-03-24,B,16834,287.33987700000006,17.06901966258762
2026-03-25,A,28387,525.418799,18.509134427731002
2026-03-25,B,28987,434.4003680000001,14.986040914892888
2026-03-26,A,32976,550.3178390000004,16.688435195293557
2026-03-26,B,34036,477.67862799999983,14.034511340933125
2026-03-27,A,34989,570.6940320000001,16.310669981994344
2026-03-27,B,34709,518.75234,14.945758736927022
2026-03-28,A,34660,591.7484079999998,17.072948874783606
2026-03-28,B,36557,583.5081309999997,15.961597806165706
